,idiom,sentence
121,more fun than a barrel of monkeys,The circus was more fun than a barrel of monkeys .
122,blow his top,I think he’ll blow his top when you give him the news.
123,blow up,"When I saw the look on Sarah’s face, I just know she’d blow up ."
124,go ape,July will go ape if she ever hears about it.
125,freak out,Mom will freak out when she found out we broke her vase!
126,went,My parents went totally ballistic when they found out I’d wrecked the car!
127,went berserk,She went berserk and strangled her cat.
128,go mental,My parents are going to go mental if they find out we had a party here!
129,go nuts,The noise caused all the neighbors to go nuts .
130,hit the roof,My parents are going to hit the roof if they find out we had a party here!
131,split up,Have you heard? Sophia and Joseph have split up .
132,main squeeze,"Don’t be angry! Yes, I was talking to that other girl, but you know you’re my main squeeze!."
133,old flame,An old flame has come back into my life. I’m seeing her tomorrow night.
134,tie the knot,"When are you and Jenny going to tie the knot ? – This year, but we haven’t set a date yet."
135,all the rage,"Yoga pants are all the rage in North America right now, but in two years probably nobody will be wearing them."
136,get carried away,"Sure, you can invest a little money, but don’t get carried away – people lose lots of money on the stock market."
137,not playing with a full deck,John’s suggestions in the meeting were ridiculous. Sometimes I think he’s not playing with a full deck .
138,out of sorts,Sorry I was so quiet during the meeting. I’ve been out of sorts all day.
139,off his rocker,Have you heard Dmitri is going to try to climb Mt. Rinjani in the rainy season? He must be off his rocker .
140,on the ball,John is on the ball . I think we can leave the office under his supervision for a few days.
141,mad as a hatter,Gerald used to be one of the most logical people I know. Now he’s mad as a hatter .
142,down in the dumps,You’ve been down in the dumps all week. Let’s go to the football game – that’ll cheer you up.
143,cock-a-hoop,Fans are cock-a-hoop about the team’s acquisition of the new striker.
144,a tough nut to crack ,The problem of how to motivate employees can be a tough nut to crack sometimes.
145,had egg on his face,Fred had egg on his face after claiming he could climb the tree but then having to give up.
146,take it with a grain of salt,"James will tell you all about his adventures in Africa, but take it with a grain of salt ."
147,icing on the cake,My new girlfriend is very intelligent. That she’s beautiful is just icing on the cake! .
148,have bigger fish to fry,I can’t help you with your presentation right now. I have bigger fish to fry .
149,a lot on my plate,I just have a lot on my plate right now while I’m finishing up my degree and doing this huge project for work.
150,all the tea in China,I wouldn’t go out with him for all the tea in China! .
151,bad egg ,James is a bad egg . Don’t trust him.
152,greatest thing since sliced bread,Have you tried the new iPhone? It’s the greatest thing since sliced bread .
153,brings home the bacon,"My husband may not be the world’s most glamorous guy, but he brings home the bacon ."
154,from soup to nuts,"Amazon started out as a bookseller, but now they offer everything from soup to nuts ."
155,hit the spot,"We went to Mark’s Midtown for lunch. I had a grilled chicken sandwich, and it really hit the spot ."
156,in a nutshell,"You should apply to the university now. There are lots of reasons, but in a nutshell, it will end up costing "
157,in a pickle ,"I’m really in a pickle . I spent all the money I had saved, and I have no way to pay next semester’s tuition bill."
158,nutty as fruitcakes,The kids are always nutty as fruitcakes when they’ve had something sugary to eat.
159,piece of cake,I’ve already done the difficult parts – finishing the presentation tonight will be a piece of cake .
160,rotten to the core,"Sam is rotten to the core . He steals, he lies, he’s violent. I’m glad he’s in prison."
161,sell like hotcakes ,The new Honda is expected to sell like hotcakes after it’s released.
162,small potatoes ,We’re wasting our time on small potatoes . Let’s get to the big news that made us have this meeting.
163,spilled the beans,"We had planned this to be a surprise party for you, but Jason spilled the beans ."
164,tough cookie,"Our principal was a little lady, but she was one tough cookie! ."
165,a bite at the cherry,You only get a bite at the cherry in life.
166,as red as a cherry,Her cheeks were as red as a cherry .
167,as American as apple pie,Baseball is as American as apple pie .
168,bad apple,Tom is really a bad apple .
169,top banana,Only the top banana can make a decision of that magnitude.
170,went pear-shaped,Sarah’s surprise party went pear-shaped once she accidentally found out about it.
171,not give a fig,"Do whatever you want, I do not give a fig ."
172,fight like cat and dog ,"Those two fight like cat and dog , so please don’t put them together on the project."
173,go see a man about a dog,I’ll be right back-I’ve got to go see a man about a dog .
174,going to the dogs,"This has always been a nice hotel, but it’s going to the dogs ."
175,puppies and rainbows,"At first my marriage was all puppies and rainbows , but then reality set in."
176,puppy dog eyes,"I try to be strict with my daughter, but when she looks at me with those puppy dog eyes , I buy her candy."
177,a cat nap,"I’m going to try to squeeze in a cat nap before my next shift starts, or else I’ll be feeling sluggish for the entire evening."
178,bell the cat,Who will bell the cat and take on the job of reducing corruption in this country?
179,cat on a hot tin roof all day ,"She’s waiting for the doctor to call with her test results, so she’s been like a cat on a hot tin roof all day ."
180,no room to swing a cat,"Inside, there is no room to swing a cat , and everything you see is the most basic junk."
181,big fish,Talk to Jon. He’s the big fish in the organization. He can help you get things done.
182, like shooting fish in a barrel v,"Picking out this item or that for criticism seems unsportsmanlike, like shooting fish in a barrel ."
183,a fish story,That’s just a fish story . Don’t try to fool me.
184, ,This game will be the quarterback’s swan song – he’s retiring after this season.
185,had butterflies in my stomach,I almost didn’t go on stage and perform tonight because I had butterflies in my stomach .
186,wild goose chase,I think this is a wild goose chase . This library doesn’t have the books we need.
187,a lone wolf,Glen is a lone wolf and seldom joins in the activities of the neightbourhood.
188,poor as a church mouse,"When we got married, we were both poor as a church mouse and we had to live with my husband’s parents."
189,Crickets,What happened when I asked for comments? Crickets . So I assume you’re all satisfied with the proposal.
190,eagle-eyed,My eagle-eyed sister spotted the car in the parking lot before anyone else did.
191,flew the coop,"You’d better pay him more, or one day you’ll come to the office and find that he flew the coop ."
192,go belly up,"I’m afraid that if we don’t reduce staff, we’ll go belly up within a year."
193,swim with sharks,"If you want to reach the island with the treasure, you’ve got to swim with sharks for a while."
194,the world is your oyster,You’re only 22-the world is your oyster . Don’t feel you have to get married now.
195,take a gander,"It may be very crowded in there. I’ll go and take a gander , and then I’ll send you a text message."
196, till the cows come home,"If you wait for Jeb to finish his part of the project, you’ll be waiting till the cows come home ."
197,When pigs fly,"Sure, I’ll go out with Cynthia again. When pigs fly ."
198,a bun in the oven,I have a bun in the oven again! Sophia will have a baby sister.
199,babes in arms,"Children will be admitted to the concert, but sorry, no babes in arms ."
200,child’s play,"After learning to drive a stick shift, driving with an automatic transmission is child’s play ."
201,a face only a mother could love,The poor baby has a face only a mother could love .
202,Bob’s your uncle,"Just enter the update code, register the new software, and Bob’s your uncle ."
203,kith and kin ,"When you go on a trip, it’s important to buy souvenirs for your kith and kin back home."
204,like taking candy from a baby,Just watch. Getting her to go out with me will be like taking candy from a baby .
205,pop the question,"I bought a ring, and I’m ready to pop the question to Sophia. "
206,up the duff,"They hadn’t planned to get married, but Sophia found out she was up the duff ."
207,Use your head,You shouldn’t buy a new car until you’ve paid off the debt from your student loan. Use your head! .
208,keep your chin up ,"It’s too bad you didn’t get the job, but keep your chin up – another one will come along."
209,zip your lip about it,"OK, I’ll tell you the secret about Cynthia, but zip your lip about it! ."
210,on the nose ,The presentation will begin at 8 on the nose . Don’t miss it.
211,all eyes and ears,The team was all eyes and ears as the coach explained the challenges ahead.
212,see eye to eye,"I don’t see eye to eye with Frances on the workflow, but she’s the boss."
213,baby blues,"I know John is bad for me, but when I get a look at his baby blues I can’t resist him."
214,all ears,Why did you delete the file I was working on? I’m all ears .
215,in a heart beat,"This is especially used in hypothetical situations. If Joe asked me, I’d marry him in a heart beat! ."
216,at hand ,I like to keep my vocabulary at hand .
217,on hand,Are there enough people on hand to hold a meeting?
218,out of hand,Employee absenteeism has gotten out of hand .
219,knows ,She’ll give you the name of a place to stay – she knows the area like the back of her hand .
220,lend me a hand,Could you lend me a hand with this piano?
221,hands-down,Tom was hands-down the best student at the university.
222,pointed the finger at,"Shareholders pointed the finger at the board of directors for the losses, and voted most of them out."
223,keep your fingers crossed,The exam’s at two. Will you keep your fingers crossed for me?
224,cooling my heels,We agreed we’d meet at the mall at 3. But you left me cooling my heels for two whole hours.
225,all thumbs,Don’t trust Jack around your expensive glassware – he’s all thumbs .
226,thumbs-up,It really pleased me that the boss gave me a thumbs-up on my presentation.
227,fire in the belly,"I worry about my son. He’s smart enough to succeed, but he doesn’t have the fire in the belly ."
228,birthday suit,"There I was, in my birthday suit , when the doorbell rang."
229,fit as a fiddle,"Three months ago Jack seemed to be at death’s door, but now he’s fit as a fiddle What happened?"
230,forty winks,"If you’re on a long drive, it’s helpful to stop and take forty winks every few hours if you can."
231,drive a hard bargain,At first I wasn’t ready to accept your offer for the house. But you drive a hard bargain .
232,on point,"Jennifer’s presentation was on point – concise, relevant, and accurate."
233,up for grabs,The election is up for grabs . Everything is still very chancy.
234,up in the air,"The salary increase is still up in the air – the boss favors it, but she hasn’t gotten approval from her superiors."
235,in hot water,Sophia is in hot water with her department manager after she blew that sales presentation.
236,burning the midnight oil,"I’ll be burning the midnight oil tonight, but I guarantee I’ll finish the paper before class tomorrow at 9."
237,out of work,I’ve been out of work since December. Hope I find a new job soon!
